id,event_date,event_date_confidence,published_at,collected_at,country,city,lat,lng,actor,perpetrator,target,claimant,supporting_force,event_type,significance,confidence,source_count,independent_source_count,title
34f5c10aef962fc9189a994017b518f7531ed22d,2026-09-25,explicit-text,2026-09-25T20:42:45Z,2026-09-25T21:28:55.255928Z,Mali,Bamako,12.6392,-8.0029,JNIM,,JNIM,,,attack,MAJOR,low,1,1,UN: Burkina Faso denounces international silence after the 25 April attack in Mali
1a000f1627ed4678b4d5a3a06ca6d6dc1a16b7c8,2026-09-24,explicit-text,2026-09-24T18:00:36Z,2026-09-24T17:28:03.775866Z,Burkina Faso,Dori,14.0354,-0.0345,Other,,,,,security operation,SIGNIFICANT,low,1,1,Reporting in Burkina Faso: when jihadist violence destroys the Great Green Wall
6126bf9826acabc9a1d3e13f80db81f12a317602,2026-09-23,explicit-text,2026-09-24T12:53:05Z,2026-09-24T13:31:15.159442Z,Niger,Tillabéri,14.2071,1.4542,Other,,,,,clash,ROUTINE,low,1,1,Niger Soldiers Killed in Fighting Near Mali Border
c9fca84b2d219d19ed9a5a86e10c3b5b309d3431,2026-09-23,explicit-text,2026-09-23T23:04:12Z,2026-09-23T23:24:52.009243Z,Niger,Tillabéri,14.2071,1.4542,Other,,,,,attack,SIGNIFICANT,low,1,1,"Niger: several soldiers fallen at the front and dozens of ""mercenaries"" neutralized in a new terrorist attack towards Abala"
e863cb3a205c20effe288703690bf71e03349807,2026-09-21,explicit-text,2026-09-25T16:59:18Z,2026-09-25T18:31:08.581066Z,Mali,Kidal,18.4411,1.4078,State,State,,,,offensive/campaign,MAJOR,moderate,1,1,Offensive in Dandougou and Kidal: FAMa pound terrorist hideouts and destroy important war materials
29287febb6ad28dcee240f5096976b06453d5b37,2026-09-21,explicit-text,2026-09-22T13:19:30Z,2026-09-22T13:30:20.996068Z,Mali,Sévaré,14.5272,-4.0934,State,State,,,,security operation,MAJOR,moderate,2,2,"Counter-terrorism: new targeted FAMa strikes in Sévaré, Dioura and Tessalit"
c340bb5acd8ff9a5ff34f320461c2cdc22ec93b6,2026-09-21,explicit-text,2026-09-21T17:28:05Z,2026-09-21T18:29:59.485797Z,Mali,Djenné,13.9061,-4.555,State,State,,,,security operation,MAJOR,moderate,1,1,"HUNTING AGAINST ARMED TERRORIST GROUPS IN THE SECTORS OF DJENNÉ, SÉVARÉ AND BER: TERRORIST DEPOTS AND BASES HIT BY AIR VECTORS"
0bafe8d9dcaf99063585c5b23f2c739d3b289bb4,2026-09-20,explicit-text,2026-09-22T09:16:31Z,2026-09-22T09:28:10.537169Z,Mali,Dioura,14.82528,-5.25139,JNIM,JNIM,State,,,attack,MAJOR,low,1,1,Mali: 150 dead after several JNIM attacks
1a0ba63571bcbeb260576cfc6c409cb672ff4607,2026-09-19,explicit-text,2026-09-21T11:30:07Z,2026-09-21T12:30:39.468220Z,Mali,Dioura,14.82528,-5.25139,State,State,,,,security operation,MAJOR,low,1,1,Security: A Ukrainian drone shot down by Malian special forces north of Dioura
1d7c861813ce9a0fdcdff85ff4ad6f215a415fe3,2026-09-19,explicit-text,2026-09-20T07:54:51Z,2026-09-20T08:26:52.057143Z,Mali,Dioura,14.82528,-5.25139,State,State,,,,security operation,ROUTINE,low,1,1,Mali: Heavy losses inflicted on terrorist groups during a major operation in Dioura
